Capitulo,Artigo,Titulo_no_Regulamento,Tema_Proposto,Subtema,Eixo_Harmonizacao,Estado_no_Excel,Diplomas_Nacionais_Relevantes,Prioridade,Notas
VII,Art. 25,Stricter national measures,Medidas nacionais mais estritas,Possibilidade de os Estados-Membros manterem ou adotarem regras nacionais mais estritas; notificação à Comissão,—,AUSENTE,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"LACUNA ANALÍTICA CRÍTICA. Este artigo é a 'janela de harmonização': permite identificar quais as normas nacionais mais estritas que podem subsistir e quais são incompatíveis com o Regulamento. Deve estar no centro da análise."
VII,Art. 26,Reporting and evaluation,Monitorização e avaliação,Relatório da Comissão ao Parlamento (prazo: 14 anos após entrada em vigor); avaliação de impacto,—,AUSENTE,—,Baixa,Artigo de carácter procedimental. Relevante para contextualização temporal da análise.
VII,Art. 27,Penalties,Fiscalização e contraordenações,Obrigação dos Estados-Membros de estabelecerem sanções efetivas e dissuasoras; notificação à Comissão; possibilidade de proibição de atividade,Detenção responsável,Parcialmente coberto,"DL 276/2001; DL 82/2019; @codigo; @rgbeac",Alta,"Tema 'Fiscalização, plano de controlo e contraordenações' existe. Verificar se a legislação nacional prevê sanções proporcionais ao volume de negócios e proibição de atividade — exigências do Regulamento."
VII,Art. 28,Entry into force and application,Disposições transitórias,Prazos diferenciados de aplicação: regra geral 2 anos; saúde 3 anos; conformação excessiva 2030; rastreabilidade 4 anos; formação 7 anos; aprovação grandes criadores 8 anos; viajantes 10 anos,—,AUSENTE,—,Alta,"LACUNA ANALÍTICA. Os prazos diferenciados condicionam a urgência de cada alteração legislativa. Essencial para priorização do trabalho de harmonização. A legislação nacional terá de ser adaptada em ondas sucessivas."
Anexo I,Anexo I — pt. 1,Feeding and watering requirements,Alimentação e abeberamento,Frequência; colostro; desmame; água ad libitum,Detenção responsável,AUSENTE,"DL 276/2001; @rgbeac",Alta,Ver Art. 11.
Anexo I,Anexo I — pt. 2,Housing requirements,Alojamentos — Condições gerais,"Temperatura (22-28°C whelping; 18-27°C kittening); iluminação (7h/dia; 8h escuro; 80Hz); tabelas de espaço mínimo (cão: 4-10m²; gato: 3m² 1.º + 2m² adicionais; h≥2m)",Detenção responsável,Parcialmente coberto,"DL 276/2001; @rgbeac",Alta,Ver Art. 12. Os valores numéricos específicos (m²; Hz; horas) devem ser comparados artigo a artigo com os Anexos da legislação nacional.
Anexo I,Anexo I — pt. 3,Health requirements for breeding,Reprodução,"Idades mínimas de reprodução (cadelas: 2.º estro; gatas: 10 meses); máximo 3 ninhadas/2 anos; pausa obrigatória após 3 ninhadas; proibição após 2 cesarianas; limite de idade (cadelas ≥8 anos; gatas ≥6 anos — necessidade de parecer veterinário)",Reprodução,AUSENTE,"DL 276/2001; @codigo; @rgbeac",Alta,"LACUNA CRÍTICA. Regras quantitativas precisas sobre reprodução — completamente ausentes do @oexcel e provavelmente sem equivalente na legislação nacional."
Anexo I,Anexo I — pt. 4,Behavioural needs,Necessidades comportamentais,"Socialização a partir das 3 semanas; separação da mãe ≥8 semanas (cães); ≥8 semanas (gatinhos em abrigos); enriquecimento (postes de arranhar; esconderijos; prateleiras para gatos)",Detenção responsável,AUSENTE,"DL 276/2001; @rgbeac",Alta,Ver Art. 14.
Anexo II,Anexo II,Transponder requirements,Identificação e registo,Normas ISO 11784/11785; número único não repetível; código de país; ISO 24631-1,Rastreabilidade,Parcialmente coberto,"DL 276/2001; DL 82/2019",Média,Verificar se o SIAC já cumpre os requisitos ISO exigidos pelo Regulamento.
Anexo III,Anexo III,Data collection indicators,Monitorização e relatórios,"Indicadores: n.º de cães/gatos registados; n.º de estabelecimentos por tipo; aprovações; suspensões; ninhadas; animais colocados no mercado; animais errantes recolhidos; eutanásias",Rastreabilidade,AUSENTE,"DL 276/2001; @codigo; @rgbeac",Média,Verificar se Portugal já recolhe algum destes indicadores e em que formato.
